	num_particles	process_std	measurement_std	Q	R	std_a	rotflip_const	mean_test_score	mean_score_time
1356	2500	0.3107882546199203	0.3592934313806556	2.3569096535925746	1.472332151438644	1.4211579159137036	0.1	-0.0023862981457683386	1.7545077800750732
542	2500	0.13845983533899603	0.4346543828989319	2.8188867789873213	0.2640359361556067	1.0660272863635694	0.1	-0.0023877316182026173	1.326704740524292
2343	1000	0.10690421302636932	0.4098767833303094	1.1827397181233879	2.9938870261513215	2.3354376005429804	0.1	-0.002388024093888935	0.7447359561920166
2588	1500	0.32659294737773675	0.47889721385871004	0.3807397879850124	0.9896182836060619	2.121408771434197	0.1	-0.002388070298909918	0.9940001964569092
1588	2500	0.3163442808022675	0.3556343992913646	2.881628723245048	0.6935236030919046	1.3853396167919376	0.1	-0.0023881687255367084	1.7491626739501953
1138	1000	0.36838874053081716	0.3882329837521214	2.9799940456144385	1.8812203022788183	1.9088805957946906	0.1	-0.0023885124852176835	0.9721360206604004
2324	1500	0.31369824582743433	0.31047851359772544	1.522054826795785	0.9622793919428245	1.1530174588711546	0.1	-0.002388589621070733	1.2273097038269043
985	2500	0.35470259101529067	0.2671221103692835	0.5438406372012243	2.7711420438667633	1.0771426391211896	0.1	-0.0023905075273400562	1.7373874187469482
351	1000	0.3604769057016334	0.30708070233879414	0.5181982864168083	1.004980105445143	0.8157984070409994	0.1	-0.002390544824818804	0.9684455394744873
1847	600	0.24246683343905084	0.27060020144222885	2.3888363892132043	1.2626387200036118	1.1994198202492552	0.1	-0.0023908045056111587	0.7722671031951904
815	1500	0.37266200920362313	0.29787021062377605	1.2816711305865298	2.526620376228893	1.1251445679216758	0.1	-0.0023913136347441795	1.2345075607299805
1612	2500	0.12252897713124097	0.4530397549123871	1.9615550544163616	1.0524396965589047	0.9873438646972726	0.1	-0.00239180118424752	1.1908185482025146
1527	1000	0.28629481495191533	0.461382933171706	1.8029684419674579	1.5395678293448805	1.8598835936383042	0.1	-0.00239188410320873	0.8217682838439941
2003	1500	0.24847083125624292	0.44715328914731306	0.5421045940925787	1.6577484966473897	0.7649169767159465	0.1	-0.002392107994805568	0.9752156734466553
2479	1000	0.250831988360362	0.38253184746887564	1.873656740720945	2.8996955067182446	1.527247790803259	0.1	-0.0023929752969511615	0.8141248226165771
